keys,en,zh_CN
TERM_FLY_DESC,"Created by an infected enemy's death. Lasts 5 seconds and bites the nearest enemy every 0.5 seconds for 1 poison damage.","由感染敌人死亡生成；存在 5 秒，接近最近敌人后每 0.5 秒叮咬 1 次，每次造成 1 点毒素伤害。"
TERM_FROST_NAME,Frost,冰霜
TERM_FROST_DESC,"Ice-marble hits add stacks that last 2 seconds. At 6 stacks they immediately become Frozen for 4 seconds.","冰霜弹珠命中时叠 1 层；层数保留 2 秒，达到 6 层时立即转为持续 4 秒的冻结状态。"
TERM_FROZEN_NAME,Frozen,冻结
TERM_FROZEN_DESC,"At 6 frost stacks the target becomes a pushable ice block. Each collision costs it 1 HP for 4 seconds.","冰霜达到 6 层时触发；目标成为可推动冰块并在每次碰撞损失 1 生命，持续 4 秒。"
TERM_WEAK_POINT_NAME,Weak Point,破绽
TERM_WEAK_POINT_DESC,"The enemy shows a random cardinal marker. Hit from that direction to crit then the marker changes direction.","敌人出现随机四方向标记；从标记方向命中则暴击，命中后标记更换方向。"
TERM_CRIT_NAME,Crit,暴击
TERM_CRIT_DESC,"This hit deals x2 damage. Triggered by weak points and other effects.","本次伤害 ×2；由破绽等多种效果触发。"
TERM_PERFECT_CRIT_NAME,Perfect Crit,完美暴击
TERM_PERFECT_CRIT_DESC,"Triggered by precisely striking a weak point. This hit deals x2.25 damage.","精确命中破绽时；本次伤害 ×2.25。"
TERM_DETONATE_NAME,Detonate,引爆
TERM_DETONATE_DESC,"Consumes Bombs to trigger an Explosion when a Bomb Marble collides with an enemy; it cannot trigger at 0 Bombs.","炸弹弹珠碰撞敌人时消耗炸弹数并触发爆炸；炸弹数为 0 时无法引爆。"
TERM_EXPLOSION_NAME,Explosion,爆炸
TERM_EXPLOSION_DESC,"A bomb marble collision deals 4 explosion damage to targets within radius 75 immediately.","炸弹弹珠碰撞敌人时触发；立即对半径 75 内目标造成 4 点爆炸伤害。"
UI_TOOLTIP_TERMS_TITLE,Terms,术语说明
UI_TOOLTIP_NO_TERMS_DESC,No terms are used in this description.,此描述未使用术语。
ITEM_DARK_MARBLE_DESC_LV1,"Each collision deals 1 physical damage.","每次碰撞造成 1 点物理伤害。"
ITEM_DARK_MARBLE_DESC_LV2,"Each collision deals 2 physical damage.","每次碰撞造成 2 点物理伤害。"
ITEM_DARK_MARBLE_DESC_LV3,"Each collision deals 3 physical damage.","每次碰撞造成 3 点物理伤害。"
ITEM_DARK_MARBLE_DESC_LV4,"Awakened: each collision deals 4 physical damage.","觉醒：每次碰撞造成 4 点物理伤害。"
ITEM_BOMB_MARBLE_DESC_LV1,"On enemy collision trigger Explosion for [damage_explosion]4[/damage_explosion] damage.","碰撞敌人时触发爆炸并造成 [damage_explosion]4[/damage_explosion] 点伤害。"
ITEM_BOMB_MARBLE_DESC_LV2,"On enemy collision trigger Explosion for [damage_explosion]6[/damage_explosion] damage.","碰撞敌人时触发爆炸并造成 [damage_explosion]6[/damage_explosion] 点伤害。"
ITEM_BOMB_MARBLE_DESC_LV3,"On enemy collision trigger Explosion for [damage_explosion]8[/damage_explosion] damage.","碰撞敌人时触发爆炸并造成 [damage_explosion]8[/damage_explosion] 点伤害。"
ITEM_BOMB_MARBLE_DESC_LV4,"Awakened: Explosion keeps [damage_explosion]8[/damage_explosion] damage with radius 75 and x4 effect scale.","觉醒：爆炸保持 [damage_explosion]8[/damage_explosion] 点伤害并获得 75 半径与 x4 效果范围。"
ITEM_BROWN_MARBLE_DESC_LV1,"Enemy hits charge both flippers. A Power Strike launch deals 2 extra Echo damage on the next enemy hit.","命中敌人为挡板蓄力；强力击弹起时，下次命中额外造成 2 点回响伤害。"
ITEM_BROWN_MARBLE_DESC_LV2,"Enemy hits charge both flippers. A Power Strike launch deals 4 extra Echo damage on the next enemy hit.","命中敌人为挡板蓄力；强力击弹起时，下次命中额外造成 4 点回响伤害。"
ITEM_BROWN_MARBLE_DESC_LV3,"Enemy hits charge both flippers. A Power Strike launch deals 8 extra Echo damage on the next enemy hit.","命中敌人为挡板蓄力；强力击弹起时，下次命中额外造成 8 点回响伤害。"
ITEM_BROWN_MARBLE_DESC_LV4,"Awakened: a full 2-layer Power Strike launch consumes everything, doubles the speed boost, and deals 8 extra Echo damage on the next 2 enemy hits.","觉醒：满 2 层强力击弹起时全部消耗，球速提升翻倍，并为接下来 2 次命中各附加 8 点回响伤害。"
ITEM_BLUE_MARBLE_DESC_LV1,"Hits add Frost. At 6 stacks the target becomes Frozen.","命中叠加冰霜；6 层时目标冻结。"
ITEM_BLUE_MARBLE_DESC_LV2,"Hits add Frost. Frozen duration is 4 seconds and frost stacks add bonus damage.","命中叠加冰霜；冻结持续 4 秒且冰霜层数会提供额外伤害。"
ITEM_BLUE_MARBLE_DESC_LV3,"Hits add Frost. Frozen duration is 4 seconds and frost stacks add bonus damage.","命中叠加冰霜；冻结持续 4 秒且冰霜层数会提供额外伤害。"
ITEM_BLUE_MARBLE_DESC_LV4,"Awakened: each hit adds 2 Frost stacks. Frozen duration stays 4 seconds.","觉醒：每次命中叠加 2 层冰霜；冻结仍持续 4 秒。"
ITEM_GREEN_MARBLE_DESC_LV1,"Hits apply Poison up to 10 stacks.","命中施加中毒，最多 10 层。"
ITEM_GREEN_MARBLE_DESC_LV2,"Hits apply Poison up to 15 stacks.","命中施加中毒，最多 15 层。"
ITEM_GREEN_MARBLE_DESC_LV3,"Hits apply Poison up to 20 stacks.","命中施加中毒，最多 20 层。"
ITEM_GREEN_MARBLE_DESC_LV4,"Awakened: hits apply 2 Poison stacks up to 20 stacks.","觉醒：每次命中施加 2 层中毒，最多 20 层。"
ITEM_FIRE_MARBLE_DESC_LV1,"First hit applies 4 Burn; later hits add 1. Each second burns for damage equal to stacks, consuming 1. Cap 10.","首次命中施加 4 层燃烧，后续命中追加 1 层；每秒按燃烧层数造成伤害并消耗 1 层，上限 10 层。"
ITEM_FIRE_MARBLE_DESC_LV2,"First hit applies 4 Burn; later hits add 1. Each second burns for damage equal to stacks, consuming 1. Cap 15.","首次命中施加 4 层燃烧，后续命中追加 1 层；每秒按燃烧层数造成伤害并消耗 1 层，上限 15 层。"
ITEM_FIRE_MARBLE_DESC_LV3,"First hit applies 4 Burn; later hits add 1. Each stack deals [damage_fire]2[/damage_fire] fire damage per second, consuming 1. Cap 15.","首次命中施加 4 层燃烧，后续命中追加 1 层；每层每秒造成 [damage_fire]2[/damage_fire] 点火焰伤害并消耗 1 层，上限 15 层。"
ITEM_FIRE_MARBLE_DESC_LV4,"Awakened: burn cap raised to 20, keeping [damage_fire]2[/damage_fire] damage per stack.","觉醒：燃烧上限提升至 20 层，每层保持 [damage_fire]2[/damage_fire] 点伤害。"
ITEM_ASSASSIN_MARBLE_DESC_LV1,"Reveal 1 Weak Point. Hit it to Crit. Assassin segment damage is 1.","揭示 1 个破绽；命中即可暴击；刺客段伤害为 1。"
ITEM_ASSASSIN_MARBLE_DESC_LV2,"Reveal 1 Weak Point. Hit it to Crit. Assassin segment damage is 2.","揭示 1 个破绽；命中即可暴击；刺客段伤害为 2。"
ITEM_ASSASSIN_MARBLE_DESC_LV3,"Reveal 1 Weak Point. Hit it to Crit. Assassin segment damage is 3.","揭示 1 个破绽；命中即可暴击；刺客段伤害为 3。"
ITEM_ASSASSIN_MARBLE_DESC_LV4,"Awakened: reveal 2 Weak Points at once. Assassin segment damage is 3.","觉醒：同时揭示 2 个破绽；刺客段伤害为 3。"
ITEM_LIGHTNING_DESC_LV1,"Hitting a charged enemy discharges and branches to 1 enemy within 120 for [damage_lightning]2[/damage_lightning] damage and 1 Arc.","命中带电敌人放电时，向 120 范围内 1 名敌人传导，造成 [damage_lightning]2[/damage_lightning] 点伤害并施加 1 层电弧。"
ITEM_LIGHTNING_DESC_LV2,"Hitting a charged enemy discharges and branches to 2 enemies within 140 for [damage_lightning]3[/damage_lightning] damage and 1 Arc each.","命中带电敌人放电时，向 140 范围内 2 名敌人传导，各造成 [damage_lightning]3[/damage_lightning] 点伤害并施加 1 层电弧。"
ITEM_LIGHTNING_DESC_LV3,"Hitting a charged enemy discharges and branches to 3 enemies within 160 for [damage_lightning]4[/damage_lightning] damage and 1 Arc each.","命中带电敌人放电时，向 160 范围内 3 名敌人传导，各造成 [damage_lightning]4[/damage_lightning] 点伤害并施加 1 层电弧。"
ITEM_LIGHTNING_DESC_LV4,"Awakened: retain level 3 values and apply 2 Arc to each branch target.","觉醒：保留 3 级数值，每个传导目标改为获得 2 层电弧。"
ITEM_LIGHTNING_MARBLE_DESC_LV1,"Hitting a charged enemy deals [damage_lightning]2[/damage_lightning] damage per stored Arc; Arc lasts 5 seconds and caps at 3.","命中带电敌人时，每层电弧造成 [damage_lightning]2[/damage_lightning] 点伤害；电弧持续 5 秒，上限 3 层。"
ITEM_LIGHTNING_MARBLE_DESC_LV2,"Hitting a charged enemy deals [damage_lightning]3[/damage_lightning] damage per stored Arc; other rules are unchanged.","命中带电敌人时，每层电弧造成 [damage_lightning]3[/damage_lightning] 点伤害；其余规则不变。"
ITEM_LIGHTNING_MARBLE_DESC_LV3,"Hitting a charged enemy deals [damage_lightning]4[/damage_lightning] damage per stored Arc; other rules are unchanged.","命中带电敌人时，每层电弧造成 [damage_lightning]4[/damage_lightning] 点伤害；其余规则不变。"
ITEM_LIGHTNING_MARBLE_DESC_LV4,"Awakened: retain level 3 damage; hitting a charged enemy applies 2 Arc after discharging while first hits still apply 1.","觉醒：保留 3 级伤害；命中带电敌人放电后施加 2 层电弧，首次命中仍施加 1 层。"
ITEM_LEYDEN_JAR_DESC_LV1,"Arc stack cap is 4.","电弧层数上限为 4。"
ITEM_LEYDEN_JAR_DESC_LV2,"Arc stack cap is 5.","电弧层数上限为 5。"
ITEM_LEYDEN_JAR_DESC_LV3,"Arc stack cap is 6.","电弧层数上限为 6。"
ITEM_LEYDEN_JAR_DESC_LV4,"Awakened: hitting a target already at 6 Arc deals 150% discharge damage, clears old Arc, then reapplies.","觉醒：命中前已有 6 层电弧时，放电造成 150% 伤害，清空旧层后重新施加。"
ITEM_ARC_RELAY_DESC_LV1,"Charged deaths relay up to 1 Arc within 140 and deal [damage_lightning]4[/damage_lightning] damage.","带电敌人死亡时向 140 范围内续流最多 1 层电弧，并造成 [damage_lightning]4[/damage_lightning] 点伤害。"
ITEM_ARC_RELAY_DESC_LV2,"Charged deaths relay up to 2 Arc within 160 and deal [damage_lightning]6[/damage_lightning] damage.","带电敌人死亡时向 160 范围内续流最多 2 层电弧，并造成 [damage_lightning]6[/damage_lightning] 点伤害。"
ITEM_ARC_RELAY_DESC_LV3,"Charged deaths relay all Arc within 180 and deal [damage_lightning]8[/damage_lightning] damage.","带电敌人死亡时向 180 范围内续流全部电弧，并造成 [damage_lightning]8[/damage_lightning] 点伤害。"
ITEM_ARC_RELAY_DESC_LV4,"Awakened: relay the full transferable Arc to 2 different enemies.","觉醒：向 2 名不同敌人各自续流完整的可转移电弧。"
ITEM_THUNDERSTORM_DESC_LV1,"The 6th discharge this shot strikes up to 3 charged enemies for [damage_lightning]6[/damage_lightning] damage.","同一发弹珠第 6 次放电时，对最多 3 名带电敌人造成 [damage_lightning]6[/damage_lightning] 点落雷伤害。"
ITEM_THUNDERSTORM_DESC_LV2,"The 5th discharge this shot strikes up to 4 charged enemies for [damage_lightning]9[/damage_lightning] damage.","同一发弹珠第 5 次放电时，对最多 4 名带电敌人造成 [damage_lightning]9[/damage_lightning] 点落雷伤害。"
ITEM_THUNDERSTORM_DESC_LV3,"The 4th discharge this shot strikes up to 5 charged enemies for [damage_lightning]12[/damage_lightning] damage.","同一发弹珠第 4 次放电时，对最多 5 名带电敌人造成 [damage_lightning]12[/damage_lightning] 点落雷伤害。"
ITEM_THUNDERSTORM_DESC_LV4,"Awakened: 0.2 seconds later, surviving targets take a second 6 damage strike and gain 1 Arc.","觉醒：0.2 秒后，仍存活的同批目标再受到 6 点落雷伤害并获得 1 层电弧。"
ITEM_FIRE_BELLOWS_DESC_LV1,"Each hit on a burning enemy fires 1 spark that adds 1 burn to a selected nearby enemy.","每次命中燃烧敌人，发射 1 枚火星并为选中的附近敌人增加 1 层燃烧。"
ITEM_FIRE_BELLOWS_DESC_LV2,"Each hit on a burning enemy fires 2 sparks that each add 1 burn to selected nearby enemies.","每次命中燃烧敌人，发射 2 枚火星，各为选中的附近敌人增加 1 层燃烧。"
ITEM_FIRE_BELLOWS_DESC_LV3,"Each hit on a burning enemy fires 3 sparks that each add 1 burn to selected nearby enemies.","每次命中燃烧敌人，发射 3 枚火星，各为选中的附近敌人增加 1 层燃烧。"
ITEM_FIRE_BELLOWS_DESC_LV4,"Awakened: each hit on a burning enemy fires 4 sparks that each add 1 burn.","觉醒：每次命中燃烧敌人发射 4 枚火星，各增加 1 层燃烧。"
ITEM_ACCELERANT_DESC_LV1,"Hits on Burned enemies add 1 burn. Burn ticks twice as fast.","命中燃烧敌人额外加 1 层燃烧；燃烧消耗速度翻倍。"
ITEM_ACCELERANT_DESC_LV2,"Hits on Burned enemies add 1 burn. Burn ticks twice as fast.","命中燃烧敌人额外加 1 层燃烧；燃烧消耗速度翻倍。"
ITEM_ACCELERANT_DESC_LV3,"Hits on Burned enemies add 2 burn. Burn ticks twice as fast.","命中燃烧敌人额外加 2 层燃烧；燃烧消耗速度翻倍。"
ITEM_ACCELERANT_DESC_LV4,"Awakened: hits on Burned enemies add 3 burn. Burn ticks twice as fast.","觉醒：命中燃烧敌人额外加 3 层燃烧；燃烧消耗速度翻倍。"
ITEM_CREMATION_DESC_LV1,"At 6 Burn a marble hit consumes burn and deals [damage_fire]3[/damage_fire] damage per burn in radius 80.","燃烧达到 6 层时，弹珠命中消耗燃烧并在半径 80 内每层造成 [damage_fire]3[/damage_fire] 点伤害。"
ITEM_CREMATION_DESC_LV2,"At 6 Burn a marble hit consumes burn and deals [damage_fire]5[/damage_fire] damage per burn in radius 80.","燃烧达到 6 层时，弹珠命中消耗燃烧并在半径 80 内每层造成 [damage_fire]5[/damage_fire] 点伤害。"
ITEM_CREMATION_DESC_LV3,"At 6 Burn a marble hit consumes burn and deals [damage_fire]7[/damage_fire] damage per burn in radius 80.","燃烧达到 6 层时，弹珠命中消耗燃烧并在半径 80 内每层造成 [damage_fire]7[/damage_fire] 点伤害。"
ITEM_CREMATION_DESC_LV4,"Awakened: at 6 Burn deal [damage_fire]7[/damage_fire] damage per burn in radius 110.","觉醒：燃烧达到 6 层时，每层在半径 110 内造成 [damage_fire]7[/damage_fire] 点伤害。"
ITEM_POISON_CULTURE_DESC_LV1,"Every 3 Poison ticks spread the current stacks to 1 nearby enemy.","每 3 次中毒跳伤，将当前层数传播给 1 名附近敌人。"
ITEM_POISON_CULTURE_DESC_LV2,"Every 3 Poison ticks spread the current stacks to 2 nearby enemies.","每 3 次中毒跳伤，将当前层数传播给 2 名附近敌人。"
ITEM_POISON_CULTURE_DESC_LV3,"Every 3 Poison ticks spread the current stacks to 3 nearby enemies.","每 3 次中毒跳伤，将当前层数传播给 3 名附近敌人。"
ITEM_POISON_CULTURE_DESC_LV4,"Awakened: spread to 3 enemies and may refresh enemies already Poisoned.","觉醒：传播给 3 名敌人，且可刷新已经中毒的敌人。"
ITEM_ICE_HAMMER_DESC_LV1,"Hit a Frozen enemy to shatter it and deal [damage_frost]5[/damage_frost] area damage.","命中冻结敌人将其碎裂并造成 [damage_frost]5[/damage_frost] 点范围伤害。"
ITEM_ICE_HAMMER_DESC_LV2,"Hit a Frozen enemy to shatter it and deal [damage_frost]8[/damage_frost] area damage.","命中冻结敌人将其碎裂并造成 [damage_frost]8[/damage_frost] 点范围伤害。"
ITEM_ICE_HAMMER_DESC_LV3,"Hit a Frozen enemy to shatter it and deal [damage_frost]12[/damage_frost] area damage.","命中冻结敌人将其碎裂并造成 [damage_frost]12[/damage_frost] 点范围伤害。"
ITEM_ICE_HAMMER_DESC_LV4,"Awakened: shattered targets also receive 3 Frost stacks.","觉醒：碎裂命中还会施加 3 层冰霜。"
ITEM_PERMAFROST_DESC_LV1,"Frozen duration gains 1 second.","冻结持续时间增加 1 秒。"
ITEM_PERMAFROST_DESC_LV2,"Frozen duration gains 2 seconds.","冻结持续时间增加 2 秒。"
ITEM_PERMAFROST_DESC_LV3,"Frozen duration gains 3 seconds.","冻结持续时间增加 3 秒。"
ITEM_PERMAFROST_DESC_LV4,"Awakened: retain +3 seconds and each Frozen collision adds 2.5 seconds.","觉醒：保留 +3 秒；冻结状态每次碰撞额外增加 2.5 秒。"
ITEM_CRYOCLASM_DESC_LV1,"Frozen impacts shatter and fire 3 homing ice shards for [damage_frost]3[/damage_frost] damage.","冻结目标碰撞时碎裂并发射 3 枚追踪冰片，每枚造成 [damage_frost]3[/damage_frost] 点伤害。"
ITEM_CRYOCLASM_DESC_LV2,"Frozen impacts shatter and fire 4 homing ice shards for [damage_frost]4[/damage_frost] damage.","冻结目标碰撞时碎裂并发射 4 枚追踪冰片，每枚造成 [damage_frost]4[/damage_frost] 点伤害。"
ITEM_CRYOCLASM_DESC_LV3,"Frozen impacts shatter and fire 6 homing ice shards for [damage_frost]6[/damage_frost] damage.","冻结目标碰撞时碎裂并发射 6 枚追踪冰片，每枚造成 [damage_frost]6[/damage_frost] 点伤害。"
ITEM_CRYOCLASM_DESC_LV4,"Awakened: shards apply Frost and the shattered target retains Frost.","觉醒：冰片施加冰霜，碎裂目标会保留冰霜。"
ITEM_CARRION_DESC_LV1,"Plague flies last 2 seconds longer.","瘟疫苍蝇额外存在 2 秒。"
ITEM_CARRION_DESC_LV2,"Plague flies last 4 seconds longer.","瘟疫苍蝇额外存在 4 秒。"
ITEM_CARRION_DESC_LV3,"Plague flies last 6 seconds longer.","瘟疫苍蝇额外存在 6 秒。"
ITEM_CARRION_DESC_LV4,"Awakened: retain +6 seconds and flies deal 1 more damage.","觉醒：保留 +6 秒，苍蝇每次叮咬额外造成 1 点伤害。"
ITEM_PARASITE_DESC_LV1,"Each Plague fly bite applies 1 Poison stack.","每次瘟疫苍蝇叮咬施加 1 层中毒。"
ITEM_PARASITE_DESC_LV2,"Each Plague fly bite applies 2 Poison stacks.","每次瘟疫苍蝇叮咬施加 2 层中毒。"
ITEM_PARASITE_DESC_LV3,"Each Plague fly bite applies 3 Poison stacks.","每次瘟疫苍蝇叮咬施加 3 层中毒。"
ITEM_PARASITE_DESC_LV4,"Awakened: each Plague fly bite applies 4 Poison stacks.","觉醒：每次瘟疫苍蝇叮咬施加 4 层中毒。"
ITEM_PUSTULE_DESC_LV1,"Infected deaths release 1 extra Plague fly that loses 2 seconds of life.","感染敌人死亡时额外释放 1 只瘟疫苍蝇，其持续时间减少 2 秒。"
ITEM_PUSTULE_DESC_LV2,"Infected deaths release 1 extra Plague fly that loses 1 second of life.","感染敌人死亡时额外释放 1 只瘟疫苍蝇，其持续时间减少 1 秒。"
ITEM_PUSTULE_DESC_LV3,"Infected deaths release 1 extra Plague fly at full lifetime.","感染敌人死亡时额外释放 1 只完整持续时间的瘟疫苍蝇。"
ITEM_PUSTULE_DESC_LV4,"Awakened: Infected deaths release 2 extra Plague flies at full lifetime.","觉醒：感染敌人死亡时额外释放 2 只完整持续时间的瘟疫苍蝇。"
ITEM_VENOM_KNIFE_DESC_LV1,"Green Marble hits apply 2 Poison stacks.","绿色弹珠命中施加 2 层中毒。"
ITEM_VENOM_KNIFE_DESC_LV2,"Green Marble hits apply 3 Poison stacks.","绿色弹珠命中施加 3 层中毒。"
ITEM_VENOM_KNIFE_DESC_LV3,"Green Marble hits apply 4 Poison stacks.","绿色弹珠命中施加 4 层中毒。"
ITEM_VENOM_KNIFE_DESC_LV4,"Awakened: Green Marble hits apply 5 Poison stacks.","觉醒：绿色弹珠命中施加 5 层中毒。"
ITEM_SCORPION_TAIL_DESC_LV1,"Each Poison layer deals [damage_poison]2[/damage_poison] damage per tick.","每层中毒每次跳伤造成 [damage_poison]2[/damage_poison] 点伤害。"
ITEM_SCORPION_TAIL_DESC_LV2,"Each Poison layer deals [damage_poison]3[/damage_poison] damage per tick.","每层中毒每次跳伤造成 [damage_poison]3[/damage_poison] 点伤害。"
ITEM_SCORPION_TAIL_DESC_LV3,"Each Poison layer deals [damage_poison]4[/damage_poison] damage per tick.","每层中毒每次跳伤造成 [damage_poison]4[/damage_poison] 点伤害。"
ITEM_SCORPION_TAIL_DESC_LV4,"Awakened: each Poison layer deals [damage_poison]5[/damage_poison] damage per tick.","觉醒：每层中毒每次跳伤造成 [damage_poison]5[/damage_poison] 点伤害。"
ITEM_WITCH_HAT_DESC_LV1,"Poison stack cap is 12.","中毒层数上限为 12。"
ITEM_WITCH_HAT_DESC_LV2,"Poison stack cap is 14.","中毒层数上限为 14。"
ITEM_WITCH_HAT_DESC_LV3,"Poison stack cap is 17.","中毒层数上限为 17。"
ITEM_WITCH_HAT_DESC_LV4,"Awakened: Poison stack cap is 27 before the global cap of 30.","觉醒：中毒层数上限为 27，仍受全局 30 层硬上限限制。"
ITEM_ASSASSINS_WHETSTONE_DESC_LV1,"Weak Point tolerance is 23 degrees.","破绽判定容差为 23 度。"
ITEM_ASSASSINS_WHETSTONE_DESC_LV2,"Weak Point tolerance is 26 degrees.","破绽判定容差为 26 度。"
ITEM_ASSASSINS_WHETSTONE_DESC_LV3,"Weak Point tolerance is 29 degrees.","破绽判定容差为 29 度。"
ITEM_ASSASSINS_WHETSTONE_DESC_LV4,"Awakened: precise Weak Point strikes become Perfect Crits.","觉醒：精准命中破绽会触发完美暴击。"
ITEM_FORTUNA_DICE_DESC_LV1,"Each immediate damage rolls one Fortuna multiplier.","每次即时伤害掷一次福尔图娜倍率。"
ITEM_FORTUNA_DICE_DESC_LV2,"A 0.7 roll is rerolled once.","掷出 0.7 倍时可重掷一次。"
ITEM_FORTUNA_DICE_DESC_LV3,"Results below x1 are rerolled once.","低于 x1 的结果可重掷一次。"
ITEM_FORTUNA_DICE_DESC_LV4,"Awakened: low rolls flip to their paired high face: 0.7→1.5, 0.8→1.3, 0.9→1.1.","觉醒：低点数翻为对应高点数：0.7→1.5、0.8→1.3、0.9→1.1。"
ITEM_MANY_FACED_PRISM_DESC_LV1,"A base Weak Point Crit creates a prism Weak Point for 2 seconds.","基础破绽暴击会生成持续 2 秒的棱镜破绽。"
ITEM_MANY_FACED_PRISM_DESC_LV2,"A base Weak Point Crit creates a prism Weak Point for 3 seconds.","基础破绽暴击会生成持续 3 秒的棱镜破绽。"
ITEM_MANY_FACED_PRISM_DESC_LV3,"A base Weak Point Crit creates a prism Weak Point for 4 seconds.","基础破绽暴击会生成持续 4 秒的棱镜破绽。"
ITEM_MANY_FACED_PRISM_DESC_LV4,"Awakened: prism Weak Points persist until consumed.","觉醒：棱镜破绽会持续到被命中。"
ITEM_SCARLET_THREAD_DESC_LV1,"Crits cut 1 nearby enemy for 50% of the triggering damage.","暴击会切割 1 名附近敌人并造成触发伤害的 50%。"
ITEM_SCARLET_THREAD_DESC_LV2,"Crits cut 1 nearby enemy for 100% of the triggering damage.","暴击会切割 1 名附近敌人并造成触发伤害的 100%。"
ITEM_SCARLET_THREAD_DESC_LV3,"Crits cut 1 nearby enemy for 150% of the triggering damage.","暴击会切割 1 名附近敌人并造成触发伤害的 150%。"
ITEM_SCARLET_THREAD_DESC_LV4,"Awakened: Crits cut 2 enemies; the second takes 150% damage.","觉醒：暴击会切割 2 名敌人；第二名也承受 150% 伤害。"
ITEM_EXECUTION_DECREE_DESC_LV1,"7 non-Crit immediate hits arm a guaranteed execution Crit.","7 次非暴击即时伤害后，下次触发必定处决暴击。"
ITEM_EXECUTION_DECREE_DESC_LV2,"6 non-Crit immediate hits arm a guaranteed execution Crit.","6 次非暴击即时伤害后，下次触发必定处决暴击。"
ITEM_EXECUTION_DECREE_DESC_LV3,"5 non-Crit immediate hits arm a guaranteed execution Crit.","5 次非暴击即时伤害后，下次触发必定处决暴击。"
ITEM_EXECUTION_DECREE_DESC_LV4,"Awakened: retain 5 hits; base and prism Crits add 2 execution progress.","觉醒：保留 5 次要求；基础与棱镜暴击额外增加 2 点处刑进度。"
ITEM_THERMAL_SHOCK_DESC_LV1,"When Burn and Frozen coexist shatter both for [damage_explosion]30[/damage_explosion] damage.","燃烧与冻结共存时碎裂两者并造成 [damage_explosion]30[/damage_explosion] 点伤害。"
ITEM_THERMAL_SHOCK_DESC_LV2,"When Burn and Frozen coexist shatter both for [damage_explosion]50[/damage_explosion] damage.","燃烧与冻结共存时碎裂两者并造成 [damage_explosion]50[/damage_explosion] 点伤害。"
ITEM_THERMAL_SHOCK_DESC_LV3,"When Burn and Frozen coexist shatter both for [damage_explosion]75[/damage_explosion] damage.","燃烧与冻结共存时碎裂两者并造成 [damage_explosion]75[/damage_explosion] 点伤害。"
ITEM_THERMAL_SHOCK_DESC_LV4,"Awakened: Burn and Frozen shatter for [damage_explosion]100[/damage_explosion] damage.","觉醒：燃烧与冻结共存时碎裂并造成 [damage_explosion]100[/damage_explosion] 点伤害。"
ITEM_MIASMA_DESC_LV1,"When Burn and Poison coexist detonate toxic fog for [damage_poison]20[/damage_poison] area damage then clear Poison.","燃烧与中毒共存时引爆毒雾造成 [damage_poison]20[/damage_poison] 点范围伤害并清除中毒。"
ITEM_MIASMA_DESC_LV2,"When Burn and Poison coexist detonate toxic fog for [damage_poison]35[/damage_poison] area damage then clear Poison.","燃烧与中毒共存时引爆毒雾造成 [damage_poison]35[/damage_poison] 点范围伤害并清除中毒。"
